"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"weight01_fisher"	"genes"	"tissue"
"Misin09G184300.1", "Misin09G184700.1", "Misin09G205400.1", "Misin09G206700.1", "Misin09G210800.1", "Misin10G032000.1", "Misin10G032200.1", "Misin10G033300.1", "Misin10G036800.1", "Misin10G077900.1", "Misin12G113600.1", "Misin13G084700.1", "Misin14G123500.1", "Misin15G054800.1", "Misin15G138700.1", "Misin15G159000.1", "Misin17G150500.1", "Misin17G168000.1", "Misin17G223700.1", "Misin19G049800.1", "Misin19G219700.1", "Misin19G248200.1", "MisinT011200.1", "MisinT014600.1", "MisinT014900.1", "MisinT021500.1", 
"MisinT029700.1", "MisinT056300.1", "MisinT067200.1", "MisinT323700.1", "MisinT344300.1")	root
"166"	GO:0003678	DNA helicase activity	126	1	0.41	0.3405	Misin07G320300.1	root
"167"	GO:0097159	organic cyclic compound binding	13970	56	46	0.3507	c("Misin01G025700.1", "Misin01G031800.1", "Misin01G053500.1", "Misin01G055200.1", "Misin01G072900.1", "Misin01G074800.1", "Misin02G343000.1", "Misin02G490600.1", "Misin02G503700.1", "Misin05G081600.1", "Misin05G281900.1", "Misin07G309900.1", "Misin07G312000.1", "Misin07G317800.1", "Misin07G320300.1", "Misin07G339800.1", "Misin07G365600.1", "Misin07G401200.1", "Misin07G461000.1", "Misin08G103500.1", "Misin09G040900.1", "Misin09G165900.1", "Misin09G171900.1", "Misin09G172200.1", "Misin09G181500.1", 
"Misin09G184300.1", "Misin09G184700.1", "Misin09G205400.1", "Misin09G206700.1", "Misin09G210800.1", "Misin10G032000.1", "Misin10G032200.1", "Misin10G033300.1", "Misin10G036800.1", "Misin10G077900.1", "Misin12G113600.1", "Misin13G084700.1", "Misin14G123500.1", "Misin15G054800.1", "Misin15G138700.1", "Misin15G159000.1", "Misin17G150500.1", "Misin17G168000.1", "Misin17G223700.1", "Misin19G049800.1", "Misin19G219700.1", "Misin19G248200.1", "MisinT011200.1", "MisinT014600.1", "MisinT014900.1", "MisinT021500.1", 
"MisinT029700.1", "MisinT056300.1", "MisinT067200.1", "MisinT323700.1", "MisinT344300.1")	root
"168"	GO:0016787	hydrolase activity	7042	21	23.19	0.3536	c("Misin01G041700.1", "Misin01G106500.1", "Misin02G490600.1", "Misin05G081700.1", "Misin05G281900.1", "Misin07G320300.1", "Misin07G418800.1", "Misin07G461000.1", "Misin10G115700.1", "Misin11G199400.1", "Misin12G095900.1", "Misin13G084700.1", "Misin15G149100.1", "Misin17G013400.1", "Misin17G013700.1", "Misin17G223700.1", "Misin17G227600.1", "Misin19G049800.1", "Misin19G088000.1", "MisinT244700.1", "MisinT528100.1")	root
"169"	GO:0043167	ion binding	12724	41	41.9	0.3684	c("Misin01G025700.1", "Misin01G055200.1", "Misin01G072900.1", "Misin01G074800.1", "Misin02G490600.1", "Misin02G503700.1", "Misin05G281900.1", "Misin07G316900.1", "Misin07G339800.1", "Misin07G461000.1", "Misin08G240700.1", "Misin09G181500.1", "Misin09G184300.1", "Misin09G184700.1", "Misin09G191700.1", "Misin09G205400.1", "Misin09G206700.1", "Misin09G210800.1", "Misin10G023700.1", "Misin10G036800.1", "Misin10G115700.1", "Misin12G113600.1", "Misin13G084700.1", "Misin14G123500.1", "Misin15G138700.1", 
"Misin15G149100.1", "Misin15G159000.1", "Misin17G150500.1", "Misin17G216100.1", "Misin17G223700.1", "Misin18G011500.1", "Misin19G219700.1", "MisinT011200.1", "MisinT014600.1", "MisinT014900.1", "MisinT021500.1", "MisinT029700.1", "MisinT056300.1", "MisinT323700.1", "MisinT344300.1", "MisinT528100.1")	root
"170"	GO:0042626	ATPase activity, coupled to transmembran...	424	2	1.4	0.4079	c("Misin13G084700.1", "Misin17G223700.1")	root
"171"	GO:0004185	serine-type carboxypeptidase activity	161	1	0.53	0.4127	Misin12G095900.1	root
"172"	GO:0016791	phosphatase activity	608	4	2	0.4328	c("Misin02G490600.1", "Misin05G081700.1", "Misin15G149100.1", "MisinT244700.1")	root
"173"	GO:0016810	hydrolase activity, acting on carbon-nit...	176	1	0.58	0.4412	Misin07G418800.1	root
"174"	GO:0004722	protein serine/threonine phosphatase act...	181	1	0.6	0.4504	MisinT244700.1	root
"175"	GO:0016887	ATPase activity	1128	4	3.71	0.4791	c("Misin05G281900.1", "Misin07G320300.1", "Misin13G084700.1", "Misin17G223700.1")	root
"176"	GO:0020037	heme binding	802	3	2.64	0.4939	c("Misin17G150500.1", "MisinT014600.1", "MisinT014900.1")	root
"177"	GO:0050660	flavin adenine dinucleotide binding	256	2	0.84	0.5063	c("Misin01G055200.1", "MisinT029700.1")	root
"178"	GO:0019843	rRNA binding	225	1	0.74	0.5251	Misin08G103500.1	root
"179"	GO:0008026	ATP-dependent helicase activity	247	1	0.81	0.5585	Misin07G320300.1	root
"180"	GO:0003723	RNA binding	1836	8	6.05	0.5587	c("Misin01G031800.1", "Misin01G053500.1", "Misin01G072900.1", "Misin01G074800.1", "Misin02G490600.1", "Misin07G317800.1", "Misin08G103500.1", "Misin19G049800.1")	root
"181"	GO:0005509	calcium ion binding	618	2	2.03	0.6064	c("Misin09G181500.1", "MisinT344300.1")	root
"182"	GO:0022857	transmembrane transporter activity	2046	5	6.74	0.6186	c("Misin10G025400.1", "Misin10G080900.1", "Misin13G084700.1", "Misin17G223700.1", "MisinT392400.1")	root
"183"	GO:0080043	quercetin 3-O-glucosyltransferase activi...	305	1	1	0.636	Misin05G304300.1	root
"184"	GO:0080044	quercetin 7-O-glucosyltransferase activi...	305	1	1	0.636	Misin05G304300.1	root
"185"	GO:0004601	peroxidase activity	305	1	1	0.636	Misin17G150500.1	root
"186"	GO:0030247	polysaccharide binding	309	1	1.02	0.6408	MisinT344300.1	root
"187"	GO:0016740	transferase activity	9619	35	31.67	0.6546	c("Misin01G025700.1", "Misin01G053500.1", "Misin02G431100.1", "Misin02G490600.1", "Misin02G503700.1", "Misin05G081600.1", "Misin05G081700.1", "Misin05G304300.1", "Misin07G316900.1", "Misin07G339800.1", "Misin07G401200.1", "Misin07G401300.1", "Misin08G022200.1", "Misin09G165900.1", "Misin09G171000.1", "Misin09G172200.1", "Misin09G181500.1", "Misin09G184300.1", "Misin09G184700.1", "Misin09G205400.1", "Misin09G210800.1", "Misin10G033300.1", "Misin10G036800.1", "Misin10G077800.1", "Misin10G077900.1", 
"Misin10G078300.1", "Misin11G205100.1", "Misin12G095900.1", "Misin12G113600.1", "Misin15G054800.1", "Misin19G219700.1", "Misin19G248200.1", "MisinT067200.1", "MisinT344300.1", "MisinT470400.1")	root
"188"	GO:0004497	monooxygenase activity	754	5	2.48	0.6617	c("Misin07G375800.1", "Misin09G191700.1", "Misin13G198400.1", "MisinT014600.1", "MisinT014900.1")	root
"189"	GO:0008757	S-adenosylmethionine-dependent methyltra...	452	2	1.49	0.6886	c("Misin07G316900.1", "Misin09G184700.1")	root
"190"	GO:0046983	protein dimerization activity	748	2	2.46	0.709	c("Misin09G184700.1", "Misin14G146400.1")	root
"191"	GO:0008270	zinc ion binding	2155	6	7.1	0.7205	c("Misin01G072900.1", "Misin01G074800.1", "Misin07G316900.1", "Misin09G210800.1", "Misin17G216100.1", "MisinT021500.1")	root
"192"	GO:0046872	metal ion binding	6513	19	21.45	0.7217	c("Misin01G055200.1", "Misin01G072900.1", "Misin01G074800.1", "Misin07G316900.1", "Misin08G240700.1", "Misin09G181500.1", "Misin09G191700.1", "Misin09G210800.1", "Misin10G023700.1", "Misin10G115700.1", "Misin12G113600.1", "Misin15G149100.1", "Misin17G150500.1", "Misin17G216100.1", "Misin18G011500.1", "MisinT014600.1", "MisinT014900.1", "MisinT021500.1", "MisinT344300.1")	root
"193"	GO:0009055	electron transfer activity	396	1	1.3	0.7312	Misin01G055200.1	root
"194"	GO:0016705	oxidoreductase activity, acting on paire...	817	4	2.69	0.7407	c("Misin07G375800.1", "Misin09G191700.1", "MisinT014600.1", "MisinT014900.1")	root
"195"	GO:0016747	transferase activity, transferring acyl ...	738	2	2.43	0.7856	c("Misin11G205100.1", "Misin12G095900.1")	root
"196"	GO:0016853	isomerase activity	600	2	1.98	0.787	c("Misin07G317800.1", "MisinT392300.1")	root
"197"	GO:0003677	DNA binding	3534	8	11.64	0.8026	c("Misin01G031800.1", "Misin01G053500.1", "Misin01G072900.1", "Misin02G343000.1", "Misin07G365600.1", "Misin09G040900.1", "Misin15G054800.1", "Misin17G168000.1")	root
"198"	GO:0004842	ubiquitin-protein transferase activity	966	2	3.18	0.8309	c("Misin09G205400.1", "MisinT470400.1")	root
"199"	GO:0003676	nucleic acid binding	6238	15	20.54	0.8554	c("Misin01G031800.1", "Misin01G053500.1", "Misin01G072900.1", "Misin01G074800.1", "Misin02G343000.1", "Misin02G490600.1", "Misin07G317800.1", "Misin07G320300.1", "Misin07G365600.1", "Misin08G103500.1", "Misin09G040900.1", "Misin09G210800.1", "Misin15G054800.1", "Misin17G168000.1", "Misin19G049800.1")	root
"200"	GO:0003700	DNA-binding transcription factor activit...	1094	2	3.6	0.8792	c("Misin02G343000.1", "MisinT528100.1")	root
"201"	GO:0019156	isoamylase activity	7	3	0.1	9.1e-05	c("Misin03G195400.1", "Misin04G215400.1", "Misin17G131000.1")	stem
"202"	GO:0042030	ATPase inhibitor activity	2	2	0.03	0.00019	c("Misin07G350500.1", "Misin08G154200.1")	stem
"203"	GO:0016161	beta-amylase activity	25	4	0.35	0.00037	c("Misin02G205400.1", "Misin04G312400.1", "Misin15G034600.1", "MisinT552400.1")	stem
"204"	GO:0004022	alcohol dehydrogenase (NAD) activity	12	3	0.17	0.00054	c("Misin01G078200.1", "Misin02G077000.1", "Misin10G085200.1")	stem
"205"	GO:0004719	protein-L-isoaspartate (D-aspartate) O-m...	4	2	0.06	0.00114	c("Misin11G116400.1", "Misin12G120700.1")	stem
"206"	GO:0004066	asparagine synthase (glutamine-hydrolyzi...	18	3	0.25	0.00188	c("Misin01G050700.1", "Misin02G034300.1", "Misin14G007100.1")	stem
"207"	GO:0036455	iron-sulfur transferase activity	5	2	0.07	0.00189	c("Misin16G239400.1", "Misin17G245600.1")	stem
"208"	GO:0015171	amino acid transmembrane transporter act...	213	10	2.97	0.00233	c("Misin01G226300.1", "Misin06G405300.1", "Misin06G405400.1", "Misin07G151000.1", "Misin07G437800.1", "Misin07G520600.1", "Misin08G235900.1", "Misin11G109200.1", "Misin12G114200.1", "MisinT226900.1")	stem
"209"	GO:0015180	L-alanine transmembrane transporter acti...	21	3	0.29	0.00298	c("Misin06G405300.1", "Misin06G405400.1", "MisinT226900.1")	stem
"210"	GO:0032440	2-alkenal reductase [NAD(P)] activity	22	3	0.31	0.00341	c("Misin14G071300.1", "Misin14G071600.1", "Misin14G071700.1")	stem
"211"	GO:0015185	gamma-aminobutyric acid transmembrane tr...	23	3	0.32	0.00388	c("Misin06G405300.1", "Misin06G405400.1", "MisinT226900.1")	stem
"212"	GO:0015181	arginine transmembrane transporter activ...	25	3	0.35	0.00494	c("Misin06G405300.1", "Misin06G405400.1", "MisinT226900.1")	stem
"213"	GO:0043169	cation binding	6563	99	91.55	0.00498	c("Misin01G009800.1", "Misin01G020100.1", "Misin01G032900.1", "Misin01G055200.1", "Misin01G066800.1", "Misin01G072900.1", "Misin01G074800.1", "Misin01G078200.1", "Misin01G158200.1", "Misin01G237500.1", "Misin01G352700.1", "Misin02G069000.1", "Misin02G077000.1", "Misin02G107500.1", "Misin02G115800.1", "Misin02G230300.1", "Misin02G341300.1", "Misin02G395700.1", "Misin02G447300.1", "Misin02G449500.1", "Misin02G483500.1", "Misin03G013200.1", "Misin03G038400.1", "Misin04G126800.1", "Misin04G230700.1", 
"Misin04G312400.1", "Misin05G054700.1", "Misin05G141700.1", "Misin05G216600.1", "Misin05G216900.1", "Misin05G273100.1", "Misin05G324900.1", "Misin05G333300.1", "Misin06G093400.1", "Misin06G253000.1", "Misin06G286000.1", "Misin06G324900.1", "Misin07G223100.1", "Misin07G316900.1", "Misin07G345300.1", "Misin07G352300.1", "Misin07G363100.1", "Misin07G375900.1", "Misin07G398000.1", "Misin07G482200.1", "Misin08G105700.1", "Misin08G141500.1", "Misin08G252700.1", "Misin09G018700.1", "Misin09G181500.1", "Misin09G192700.1", 
"Misin09G210800.1", "Misin10G023700.1", "Misin10G085200.1", "Misin10G115700.1", "Misin11G015800.1", "Misin11G016000.1", "Misin11G115400.1", "Misin11G139700.1", "Misin11G153100.1", "Misin11G270000.1", "Misin12G113600.1", "Misin12G160100.1", "Misin12G223700.1", "Misin12G267200.1", "Misin12G281500.1", "Misin13G000200.1", "Misin13G159000.1", "Misin14G071300.1", "Misin14G071600.1", "Misin14G071700.1", "Misin14G145400.1", "Misin15G128300.1", "Misin15G149100.1", "Misin15G165600.1", "Misin16G009600.1", "Misin16G079400.1", 
"Misin16G239400.1", "Misin17G180500.1", "Misin17G213900.1", "Misin17G216100.1", "Misin17G245600.1", "Misin17G248600.1", "Misin18G054800.1", "Misin18G077700.1", "Misin18G112600.1", "Misin18G112700.1", "Misin18G276400.1", "Misin19G063100.1", "Misin19G083700.1", "Misin19G100700.1", "MisinT014600.1", "MisinT014900.1", "MisinT182000.1", "MisinT263900.1", "MisinT344300.1", "MisinT349300.1", "MisinT447800.1", "MisinT478600.1")	stem
"214"	GO:0005313	L-glutamate transmembrane transporter ac...	27	3	0.38	0.00615	c("Misin06G405300.1", "Misin06G405400.1", "MisinT226900.1")	stem
"215"	GO:0047134	protein-disulfide reductase activity	9	2	0.13	0.00655	c("Misin05G300400.1", "Misin06G289700.1")	stem
"216"	GO:0003844	1,4-alpha-glucan branching enzyme activi...	10	2	0.14	0.00811	c("Misin07G352300.1", "Misin18G276400.1")	stem
"217"	GO:0015189	L-lysine transmembrane transporter activ...	30	3	0.42	0.00828	c("Misin06G405300.1", "Misin06G405400.1", "MisinT226900.1")	stem
"218"	GO:0004427	inorganic diphosphatase activity	32	3	0.45	0.00991	c("Misin05G324900.1", "Misin06G324900.1", "Misin19G206300.1")	stem
"219"	GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogen...	33	3	0.46	0.01079	c("Misin10G040500.1", "Misin12G229900.1", "Misin12G236300.1")	stem
"220"	GO:0003964	RNA-directed DNA polymerase activity	12	2	0.17	0.01168	c("Misin01G053500.1", "Misin13G077800.1")	stem
"221"	GO:0043167	ion binding	12724	175	177.49	0.01347	c("Misin01G009800.1", "Misin01G020100.1", "Misin01G025700.1", "Misin01G032900.1", "Misin01G055200.1", "Misin01G066800.1", "Misin01G072900.1", "Misin01G074800.1", "Misin01G078200.1", "Misin01G106600.1", "Misin01G158200.1", "Misin01G237500.1", "Misin01G346300.1", "Misin01G352700.1", "Misin01G390800.1", "Misin01G394400.1", "Misin01G398900.1", "Misin02G047900.1", "Misin02G069000.1", "Misin02G077000.1", "Misin02G107500.1", "Misin02G115800.1", "Misin02G230300.1", "Misin02G341300.1", "Misin02G374600.1", 
"Misin02G395700.1", "Misin02G408300.1", "Misin02G447300.1", "Misin02G449500.1", "Misin02G483500.1", "Misin02G490600.1", "Misin02G503700.1", "Misin03G013200.1", "Misin03G038400.1", "Misin03G240100.1", "Misin04G126800.1", "Misin04G230700.1", "Misin04G312400.1", "Misin05G014900.1", "Misin05G054700.1", "Misin05G141700.1", "Misin05G209300.1", "Misin05G216600.1", "Misin05G216900.1", "Misin05G273100.1", "Misin05G281900.1", "Misin05G295500.1", "Misin05G324900.1", "Misin05G333300.1", "Misin05G335800.1", "Misin05G344000.1", 
"Misin06G093400.1", "Misin06G183500.1", "Misin06G250900.1", "Misin06G253000.1", "Misin06G286000.1", "Misin06G317700.1", "Misin06G324900.1", "Misin06G405400.1", "Misin07G205700.1", "Misin07G223100.1", "Misin07G316900.1", "Misin07G339800.1", "Misin07G345300.1", "Misin07G352300.1", "Misin07G363100.1", "Misin07G365700.1", "Misin07G375900.1", "Misin07G398000.1", "Misin07G482200.1", "Misin08G087500.1", "Misin08G105700.1", "Misin08G141500.1", "Misin08G171900.1", "Misin08G252700.1", "Misin08G260300.1", "Misin09G018700.1", 
"Misin09G043700.1", "Misin09G181500.1", "Misin09G184300.1", "Misin09G184700.1", "Misin09G192700.1", "Misin09G194100.1", "Misin09G199400.1", "Misin09G205400.1", "Misin09G206700.1", "Misin09G210800.1", "Misin10G020200.1", "Misin10G023700.1", "Misin10G034300.1", "Misin10G036800.1", "Misin10G036900.1", "Misin10G046900.1", "Misin10G074500.1", "Misin10G085200.1", "Misin10G115700.1", "Misin10G139100.1", "Misin10G139800.1", "Misin10G181000.1", "Misin10G196200.1", "Misin11G015800.1", "Misin11G016000.1", "Misin11G115400.1", 
"Misin11G139700.1", "Misin11G153100.1", "Misin11G270000.1", "Misin12G108200.1", "Misin12G113600.1", "Misin12G160100.1", "Misin12G201000.1", "Misin12G223700.1", "Misin12G267200.1", "Misin12G281500.1", "Misin13G000200.1", "Misin13G159000.1", "Misin14G071300.1", "Misin14G071600.1", "Misin14G071700.1", "Misin14G098900.1", "Misin14G123500.1", "Misin14G145400.1", "Misin14G151100.1", "Misin15G128300.1", "Misin15G138700.1", "Misin15G149100.1", "Misin15G159000.1", "Misin15G165600.1", "Misin16G001700.1", "Misin16G009600.1", 
"Misin16G079400.1", "Misin16G207000.1", "Misin16G208700.1", "Misin16G239400.1", "Misin17G034300.1", "Misin17G180500.1", "Misin17G213900.1", "Misin17G216100.1", "Misin17G223700.1", "Misin17G245600.1", "Misin17G248600.1", "Misin17G255500.1", "Misin17G261600.1", "Misin18G054800.1", "Misin18G077700.1", "Misin18G102100.1", "Misin18G112600.1", "Misin18G112700.1", "Misin18G257200.1", "Misin18G276400.1", "Misin19G007700.1", "Misin19G040400.1", "Misin19G063100.1", "Misin19G083700.1", "Misin19G100700.1", "Misin19G109800.1", 
"Misin19G145100.1", "Misin19G191900.1", "MisinT011200.1", "MisinT014600.1", "MisinT014900.1", "MisinT029700.1", "MisinT050600.1", "MisinT056300.1", "MisinT078900.1", "MisinT182000.1", "MisinT226600.1", "MisinT227600.1", "MisinT246700.1", "MisinT263300.1", "MisinT263900.1", "MisinT323700.1", "MisinT344300.1", "MisinT349300.1", "MisinT447800.1", "MisinT478600.1")	stem
"222"	GO:0000774	adenyl-nucleotide exchange factor activi...	13	2	0.18	0.01368	c("Misin01G402300.1", "Misin02G410800.1")	stem
"223"	GO:0008942	nitrite reductase [NAD(P)H] activity	1	1	0.01	0.01395	Misin06G374400.1	stem
"224"	GO:0009916	alternative oxidase activity	14	2	0.2	0.01581	c("Misin08G252700.1", "Misin12G267200.1")	stem
"225"	GO:0052692	raffinose alpha-galactosidase activity	15	2	0.21	0.01808	c("Misin01G191300.1", "MisinT167900.1")	stem
"226"	GO:0008061	chitin binding	72	4	1	0.01826	c("Misin03G047700.1", "Misin05G227800.1", "Misin10G064900.1", "Misin11G126600.1")	stem
"227"	GO:0004568	chitinase activity	74	4	1.03	0.01999	c("Misin03G047700.1", "Misin05G227800.1", "Misin10G064900.1", "Misin11G126600.1")	stem
"228"	GO:0008171	O-methyltransferase activity	118	7	1.65	0.02025	c("Misin01G327200.1", "Misin02G332900.1", "Misin03G006600.1", "Misin09G184700.1", "Misin10G196200.1", "Misin11G116400.1", "Misin12G120700.1")	stem
"229"	GO:0102483	scopolin beta-glucosidase activity	44	3	0.61	0.02341	c("Misin11G142000.1", "Misin12G147300.1", "Misin15G088700.1")	stem
"230"	GO:0003993	acid phosphatase activity	78	4	1.09	0.02374	c("Misin01G242200.1", "Misin15G149100.1", "Misin16G078300.1", "Misin17G084900.1")	stem
"231"	GO:0052684	L-serine hydro-lyase (adding indole, L-t...	2	1	0.03	0.0277	Misin19G191900.1	stem
"232"	GO:0004131	cytosine deaminase activity	2	1	0.03	0.0277	Misin01G020100.1	stem
"233"	GO:0050162	oxalate oxidase activity	2	1	0.03	0.0277	Misin02G107500.1	stem
"234"	GO:0015379	potassium:chloride symporter activity	2	1	0.03	0.0277	Misin10G025400.1	stem
"235"	GO:0005245	voltage-gated calcium channel activity	2	1	0.03	0.0277	Misin05G216900.1	stem
"236"	GO:0047538	2-carboxy-D-arabinitol-1-phosphatase act...	2	1	0.03	0.0277	Misin10G020200.1	stem
"237"	GO:0004373	glycogen (starch) synthase activity	19	2	0.27	0.02839	c("Misin19G100900.1", "MisinT393000.1")	stem
"238"	GO:0005355	glucose transmembrane transporter activi...	122	5	1.7	0.02844	c("Misin01G306100.1", "Misin02G271400.1", "Misin04G190300.1", "MisinT147900.1", "MisinT250900.1")	stem
"239"	GO:0004471	malate dehydrogenase (decarboxylating) (...	20	2	0.28	0.03126	c("Misin05G273100.1", "Misin06G253000.1")	stem
"240"	GO:0043531	ADP binding	470	12	6.56	0.03365	c("Misin02G047900.1", "Misin09G043700.1", "Misin09G184700.1", "Misin09G199400.1", "Misin10G036900.1", "Misin10G074500.1", "Misin10G196200.1", "Misin12G201000.1", "Misin14G123500.1", "Misin14G151100.1", "Misin15G138700.1", "Misin15G159000.1")	stem
"241"	GO:0004619	phosphoglycerate mutase activity	21	2	0.29	0.03423	c("Misin02G341300.1", "Misin10G020200.1")	stem
"242"	GO:0004318	enoyl-[acyl-carrier-protein] reductase (...	3	1	0.04	0.04127	Misin07G332200.1	stem
"243"	GO:0003842	1-pyrroline-5-carboxylate dehydrogenase ...	3	1	0.04	0.04127	Misin17G216100.1	stem
"244"	GO:0004474	malate synthase activity	3	1	0.04	0.04127	Misin11G121200.1	stem
"245"	GO:0008198	ferrous iron binding	24	2	0.33	0.04378	c("Misin16G239400.1", "Misin17G245600.1")	stem
"246"	GO:0030247	polysaccharide binding	309	9	4.31	0.04738	c("Misin01G145100.1", "Misin02G115300.1", "Misin06G405300.1", "Misin06G405400.1", "MisinT226600.1", "MisinT226900.1", "MisinT227600.1", "MisinT344300.1", "MisinT393000.1")	stem
"247"	GO:0008195	phosphatidate phosphatase activity	26	2	0.36	0.05063	c("Misin05G081700.1", "MisinT227600.1")	stem
"248"	GO:0010333	terpene synthase activity	60	3	0.84	0.05148	c("Misin01G352700.1", "Misin07G363100.1", "Misin16G009600.1")	stem
"249"	GO:0030145	manganese ion binding	100	4	1.39	0.05162	c("Misin02G107500.1", "Misin02G341300.1", "Misin08G141500.1", "Misin11G015800.1")	stem
"250"	GO:0033737	1-pyrroline dehydrogenase activity	4	1	0.06	0.05464	Misin11G099200.1	stem
"251"	GO:0046403	polynucleotide 3'-phosphatase activity	4	1	0.06	0.05464	Misin03G010100.1	stem
"252"	GO:0046404	ATP-dependent polydeoxyribonucleotide 5'...	4	1	0.06	0.05464	Misin03G010100.1	stem
"253"	GO:0050201	fucokinase activity	4	1	0.06	0.05464	Misin02G490600.1	stem
"254"	GO:0019145	aminobutyraldehyde dehydrogenase activit...	4	1	0.06	0.05464	Misin11G099200.1	stem
"255"	GO:0008863	formate dehydrogenase (NAD+) activity	4	1	0.06	0.05464	MisinT505500.1	stem
"256"	GO:0046554	malate dehydrogenase (NADP+) activity	4	1	0.06	0.05464	Misin07G271500.1	stem
"257"	GO:0005432	calcium:sodium antiporter activity	4	1	0.06	0.05464	Misin08G105700.1	stem
"258"	GO:0080030	methyl indole-3-acetate esterase activit...	4	1	0.06	0.05464	Misin06G411400.1	stem
"259"	GO:0080031	methyl salicylate esterase activity	4	1	0.06	0.05464	Misin06G411400.1	stem
"260"	GO:0080032	methyl jasmonate esterase activity	4	1	0.06	0.05464	Misin06G411400.1	stem
"261"	GO:0004489	methylenetetrahydrofolate reductase (NAD...	4	1	0.06	0.05464	Misin01G032000.1	stem
"262"	GO:0008802	betaine-aldehyde dehydrogenase activity	4	1	0.06	0.05464	Misin11G099200.1	stem
"263"	GO:0034046	poly(G) binding	4	1	0.06	0.05464	Misin01G074800.1	stem
"264"	GO:0045437	uridine nucleosidase activity	4	1	0.06	0.05464	Misin04G126800.1	stem
"265"	GO:0005366	myo-inositol:proton symporter activity	4	1	0.06	0.05464	Misin12G131100.1	stem
"266"	GO:0047341	fucose-1-phosphate guanylyltransferase a...	4	1	0.06	0.05464	Misin02G490600.1	stem
"267"	GO:0004848	ureidoglycolate hydrolase activity	4	1	0.06	0.05464	Misin14G145400.1	stem
"268"	GO:0051537	2 iron, 2 sulfur cluster binding	102	4	1.42	0.05477	c("Misin01G055200.1", "Misin06G374400.1", "Misin16G239400.1", "Misin17G245600.1")	stem
"269"	GO:0004129	cytochrome-c oxidase activity	28	2	0.39	0.05783	c("Misin14G126400.1", "Misin15G135500.1")	stem
"270"	GO:0051287	NAD binding	149	5	2.08	0.05828	c("Misin03G030000.1", "Misin05G273100.1", "Misin06G253000.1", "Misin11G002600.1", "MisinT505500.1")	stem
"271"	GO:0005351	carbohydrate:proton symporter activity	150	5	2.09	0.05963	c("Misin01G306100.1", "Misin02G271400.1", "Misin04G190300.1", "MisinT147900.1", "MisinT250900.1")	stem
"272"	GO:0003921	GMP synthase activity	5	1	0.07	0.06783	Misin07G028600.1	stem
"273"	GO:0004108	citrate (Si)-synthase activity	5	1	0.07	0.06783	Misin18G018200.1	stem
"274"	GO:0004032	alditol:NADP+ 1-oxidoreductase activity	5	1	0.07	0.06783	Misin17G174300.1	stem
"275"	GO:0008184	glycogen phosphorylase activity	5	1	0.07	0.06783	Misin05G335800.1	stem
"276"	GO:0052906	tRNA (guanine(37)-N(1))-methyltransferas...	5	1	0.07	0.06783	Misin07G398000.1	stem
"277"	GO:0004707	MAP kinase activity	33	2	0.46	0.07723	c("Misin01G390800.1", "Misin18G257200.1")	stem
"278"	GO:0003922	GMP synthase (glutamine-hydrolyzing) act...	6	1	0.08	0.08084	Misin07G028600.1	stem
"279"	GO:0018580	nitronate monooxygenase activity	6	1	0.08	0.08084	Misin13G198400.1	stem
"280"	GO:0005242	inward rectifier potassium channel activ...	6	1	0.08	0.08084	Misin02G069000.1	stem
"281"	GO:0003785	actin monomer binding	6	1	0.08	0.08084	Misin19G040400.1	stem
"282"	GO:0008311	double-stranded DNA 3'-5' exodeoxyribonu...	6	1	0.08	0.08084	Misin06G286000.1	stem
"283"	GO:0047974	guanosine deaminase activity	6	1	0.08	0.08084	Misin01G020100.1	stem
"284"	GO:0003979	UDP-glucose 6-dehydrogenase activity	7	1	0.1	0.09366	Misin03G030000.1	stem
"285"	GO:0003906	DNA-(apurinic or apyrimidinic site) endo...	7	1	0.1	0.09366	Misin06G286000.1	stem
"286"	GO:0003849	3-deoxy-7-phosphoheptulonate synthase ac...	7	1	0.1	0.09366	Misin13G198800.1	stem
"287"	GO:0005509	calcium ion binding	618	13	8.62	0.09488	c("Misin01G032900.1", "Misin01G237500.1", "Misin02G069000.1", "Misin02G230300.1", "Misin04G312400.1", "Misin05G216900.1", "Misin08G105700.1", "Misin09G181500.1", "Misin11G153100.1", "Misin17G213900.1", "Misin18G112600.1", "Misin18G112700.1", "MisinT344300.1")	stem
"288"	GO:0004364	glutathione transferase activity	225	6	3.14	0.09639	c("Misin01G393400.1", "Misin02G286600.1", "Misin02G293100.1", "MisinT258000.1", "MisinT364200.1", "MisinT404400.1")	stem
"289"	GO:0005506	iron ion binding	767	17	10.7	0.09767	c("Misin01G055200.1", "Misin01G158200.1", "Misin02G115800.1", "Misin05G333300.1", "Misin07G345300.1", "Misin09G018700.1", "Misin09G192700.1", "Misin11G115400.1", "Misin11G139700.1", "Misin13G159000.1", "Misin15G165600.1", "Misin16G239400.1", "Misin17G245600.1", "MisinT014600.1", "MisinT014900.1", "MisinT182000.1", "MisinT263900.1")	stem
"290"	GO:0004042	acetyl-CoA:L-glutamate N-acetyltransfera...	8	1	0.11	0.10631	Misin01G309200.1	stem
"291"	GO:0004802	transketolase activity	8	1	0.11	0.10631	Misin11G031500.1	stem
